"","Planning_Area","Post Secondary (Polytechnic/Diploma)","Year","Education","Education_count","Housing","Housing_count","Income","Income_count"
"2307","River Valley",1124,"1/1/2010","Education: Primary to Secondary",1015,"Housing: Others",13,"Income: $1,000 to $2,999",157
"2308","River Valley",1124,"1/1/2010","Education: Primary to Secondary",1015,"Housing: Others",13,"Income: $3,000 to $4,999",213
"2309","River Valley",1124,"1/1/2010","Education: Primary to Secondary",1015,"Housing: Others",13,"Income: $5,000 to $9,999",366
"2310","River Valley",1124,"1/1/2010","Education: Primary to Secondary",1015,"Housing: Others",13,"Income: $10,000 & Over",1618
"2311","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: HDB 1-3 Rooms",0,"Income: No Working Person",387
"2312","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: HDB 1-3 Rooms",0,"Income: Below $1,000",6
"2313","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: HDB 1-3 Rooms",0,"Income: $1,000 to $2,999",157
"2314","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: HDB 1-3 Rooms",0,"Income: $3,000 to $4,999",213
"2315","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: HDB 1-3 Rooms",0,"Income: $5,000 to $9,999",366
"2316","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: HDB 1-3 Rooms",0,"Income: $10,000 & Over",1618
"2317","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: HDB 4-5 Rooms",0,"Income: No Working Person",387
"2318","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: HDB 4-5 Rooms",0,"Income: Below $1,000",6
"2319","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: HDB 4-5 Rooms",0,"Income: $1,000 to $2,999",157
"2320","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: HDB 4-5 Rooms",0,"Income: $3,000 to $4,999",213
"2321","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: HDB 4-5 Rooms",0,"Income: $5,000 to $9,999",366
"2322","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: HDB 4-5 Rooms",0,"Income: $10,000 & Over",1618
"2323","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Condominiums and Other Apartments",2536,"Income: No Working Person",387
"2324","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Condominiums and Other Apartments",2536,"Income: Below $1,000",6
"2325","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Condominiums and Other Apartments",2536,"Income: $1,000 to $2,999",157
"2326","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Condominiums and Other Apartments",2536,"Income: $3,000 to $4,999",213
"2327","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Condominiums and Other Apartments",2536,"Income: $5,000 to $9,999",366
"2328","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Condominiums and Other Apartments",2536,"Income: $10,000 & Over",1618
"2329","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Landed Properties",198,"Income: No Working Person",387
"2330","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Landed Properties",198,"Income: Below $1,000",6
"2331","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Landed Properties",198,"Income: $1,000 to $2,999",157
"2332","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Landed Properties",198,"Income: $3,000 to $4,999",213
"2333","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Landed Properties",198,"Income: $5,000 to $9,999",366
"2334","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Landed Properties",198,"Income: $10,000 & Over",1618
"2335","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Others",13,"Income: No Working Person",387
"2336","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Others",13,"Income: Below $1,000",6
"2337","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Others",13,"Income: $1,000 to $2,999",157
"2338","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Others",13,"Income: $3,000 to $4,999",213
"2339","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Others",13,"Income: $5,000 to $9,999",366
"2340","River Valley",1124,"1/1/2010","Education: University",3578,"Housing: Others",13,"Income: $10,000 & Over",1618
"2341","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: HDB 1-3 Rooms",2318,"Income: No Working Person",888
"2342","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: HDB 1-3 Rooms",2318,"Income: Below $1,000",253
"2343","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: HDB 1-3 Rooms",2318,"Income: $1,000 to $2,999",807
"2344","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: HDB 1-3 Rooms",2318,"Income: $3,000 to $4,999",976
"2345","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: HDB 1-3 Rooms",2318,"Income: $5,000 to $9,999",1317
"2346","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: HDB 1-3 Rooms",2318,"Income: $10,000 & Over",1012
"2347","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: HDB 4-5 Rooms",1820,"Income: No Working Person",888
"2348","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: HDB 4-5 Rooms",1820,"Income: Below $1,000",253
"2349","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: HDB 4-5 Rooms",1820,"Income: $1,000 to $2,999",807
"2350","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: HDB 4-5 Rooms",1820,"Income: $3,000 to $4,999",976
"2351","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: HDB 4-5 Rooms",1820,"Income: $5,000 to $9,999",1317
"2352","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: HDB 4-5 Rooms",1820,"Income: $10,000 & Over",1012
"2353","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Condominiums and Other Apartments",816,"Income: No Working Person",888
"2354","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Condominiums and Other Apartments",816,"Income: Below $1,000",253
"2355","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Condominiums and Other Apartments",816,"Income: $1,000 to $2,999",807
"2356","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Condominiums and Other Apartments",816,"Income: $3,000 to $4,999",976
"2357","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Condominiums and Other Apartments",816,"Income: $5,000 to $9,999",1317
"2358","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Condominiums and Other Apartments",816,"Income: $10,000 & Over",1012
"2359","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Landed Properties",84,"Income: No Working Person",888
"2360","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Landed Properties",84,"Income: Below $1,000",253
"2361","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Landed Properties",84,"Income: $1,000 to $2,999",807
"2362","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Landed Properties",84,"Income: $3,000 to $4,999",976
"2363","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Landed Properties",84,"Income: $5,000 to $9,999",1317
"2364","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Landed Properties",84,"Income: $10,000 & Over",1012
"2365","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Others",218,"Income: No Working Person",888
"2366","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Others",218,"Income: Below $1,000",253
"2367","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Others",218,"Income: $1,000 to $2,999",807
"2368","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Others",218,"Income: $3,000 to $4,999",976
"2369","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Others",218,"Income: $5,000 to $9,999",1317
"2370","Rochor",2557,"1/1/2010","Education: No Qualification",2378,"Housing: Others",218,"Income: $10,000 & Over",1012
"2371","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: HDB 1-3 Rooms",2318,"Income: No Working Person",888
"2372","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: HDB 1-3 Rooms",2318,"Income: Below $1,000",253
"2373","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: HDB 1-3 Rooms",2318,"Income: $1,000 to $2,999",807
"2374","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: HDB 1-3 Rooms",2318,"Income: $3,000 to $4,999",976
"2375","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: HDB 1-3 Rooms",2318,"Income: $5,000 to $9,999",1317
"2376","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: HDB 1-3 Rooms",2318,"Income: $10,000 & Over",1012
"2377","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: HDB 4-5 Rooms",1820,"Income: No Working Person",888
"2378","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: HDB 4-5 Rooms",1820,"Income: Below $1,000",253
"2379","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: HDB 4-5 Rooms",1820,"Income: $1,000 to $2,999",807
"2380","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: HDB 4-5 Rooms",1820,"Income: $3,000 to $4,999",976
"2381","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: HDB 4-5 Rooms",1820,"Income: $5,000 to $9,999",1317
"2382","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: HDB 4-5 Rooms",1820,"Income: $10,000 & Over",1012
"2383","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Condominiums and Other Apartments",816,"Income: No Working Person",888
"2384","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Condominiums and Other Apartments",816,"Income: Below $1,000",253
"2385","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Condominiums and Other Apartments",816,"Income: $1,000 to $2,999",807
"2386","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Condominiums and Other Apartments",816,"Income: $3,000 to $4,999",976
"2387","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Condominiums and Other Apartments",816,"Income: $5,000 to $9,999",1317
"2388","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Condominiums and Other Apartments",816,"Income: $10,000 & Over",1012
"2389","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Landed Properties",84,"Income: No Working Person",888
"2390","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Landed Properties",84,"Income: Below $1,000",253
"2391","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Landed Properties",84,"Income: $1,000 to $2,999",807
"2392","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Landed Properties",84,"Income: $3,000 to $4,999",976
"2393","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Landed Properties",84,"Income: $5,000 to $9,999",1317
"2394","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Landed Properties",84,"Income: $10,000 & Over",1012
"2395","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Others",218,"Income: No Working Person",888
"2396","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Others",218,"Income: Below $1,000",253
"2397","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Others",218,"Income: $1,000 to $2,999",807
"2398","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Others",218,"Income: $3,000 to $4,999",976
"2399","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Others",218,"Income: $5,000 to $9,999",1317
"2400","Rochor",2557,"1/1/2010","Education: Primary to Secondary",4607,"Housing: Others",218,"Income: $10,000 & Over",1012
"2401","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: HDB 1-3 Rooms",2318,"Income: No Working Person",888
"2402","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: HDB 1-3 Rooms",2318,"Income: Below $1,000",253
"2403","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: HDB 1-3 Rooms",2318,"Income: $1,000 to $2,999",807
"2404","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: HDB 1-3 Rooms",2318,"Income: $3,000 to $4,999",976
"2405","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: HDB 1-3 Rooms",2318,"Income: $5,000 to $9,999",1317
"2406","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: HDB 1-3 Rooms",2318,"Income: $10,000 & Over",1012
"2407","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: HDB 4-5 Rooms",1820,"Income: No Working Person",888
"2408","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: HDB 4-5 Rooms",1820,"Income: Below $1,000",253
"2409","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: HDB 4-5 Rooms",1820,"Income: $1,000 to $2,999",807
"2410","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: HDB 4-5 Rooms",1820,"Income: $3,000 to $4,999",976
"2411","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: HDB 4-5 Rooms",1820,"Income: $5,000 to $9,999",1317
"2412","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: HDB 4-5 Rooms",1820,"Income: $10,000 & Over",1012
"2413","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Condominiums and Other Apartments",816,"Income: No Working Person",888
"2414","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Condominiums and Other Apartments",816,"Income: Below $1,000",253
"2415","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Condominiums and Other Apartments",816,"Income: $1,000 to $2,999",807
"2416","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Condominiums and Other Apartments",816,"Income: $3,000 to $4,999",976
"2417","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Condominiums and Other Apartments",816,"Income: $5,000 to $9,999",1317
"2418","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Condominiums and Other Apartments",816,"Income: $10,000 & Over",1012
"2419","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Landed Properties",84,"Income: No Working Person",888
"2420","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Landed Properties",84,"Income: Below $1,000",253
"2421","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Landed Properties",84,"Income: $1,000 to $2,999",807
"2422","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Landed Properties",84,"Income: $3,000 to $4,999",976
"2423","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Landed Properties",84,"Income: $5,000 to $9,999",1317
"2424","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Landed Properties",84,"Income: $10,000 & Over",1012
"2425","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Others",218,"Income: No Working Person",888
"2426","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Others",218,"Income: Below $1,000",253
"2427","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Others",218,"Income: $1,000 to $2,999",807
"2428","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Others",218,"Income: $3,000 to $4,999",976
"2429","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Others",218,"Income: $5,000 to $9,999",1317
"2430","Rochor",2557,"1/1/2010","Education: University",2304,"Housing: Others",218,"Income: $10,000 & Over",1012
"2431","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: HDB 1-3 Rooms",0,"Income: No Working Person",829
"2432","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: HDB 1-3 Rooms",0,"Income: Below $1,000",317
"2433","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: HDB 1-3 Rooms",0,"Income: $1,000 to $2,999",2386
"2434","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: HDB 1-3 Rooms",0,"Income: $3,000 to $4,999",3791
"2435","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: HDB 1-3 Rooms",0,"Income: $5,000 to $9,999",7919
"2436","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: HDB 1-3 Rooms",0,"Income: $10,000 & Over",5370
"2437","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: HDB 4-5 Rooms",19294,"Income: No Working Person",829
"2438","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: HDB 4-5 Rooms",19294,"Income: Below $1,000",317
"2439","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: HDB 4-5 Rooms",19294,"Income: $1,000 to $2,999",2386
"2440","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: HDB 4-5 Rooms",19294,"Income: $3,000 to $4,999",3791
"2441","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: HDB 4-5 Rooms",19294,"Income: $5,000 to $9,999",7919
"2442","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: HDB 4-5 Rooms",19294,"Income: $10,000 & Over",5370
"2443","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Condominiums and Other Apartments",579,"Income: No Working Person",829
"2444","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Condominiums and Other Apartments",579,"Income: Below $1,000",317
"2445","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Condominiums and Other Apartments",579,"Income: $1,000 to $2,999",2386
"2446","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Condominiums and Other Apartments",579,"Income: $3,000 to $4,999",3791
"2447","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Condominiums and Other Apartments",579,"Income: $5,000 to $9,999",7919
"2448","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Condominiums and Other Apartments",579,"Income: $10,000 & Over",5370
"2449","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Landed Properties",702,"Income: No Working Person",829
"2450","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Landed Properties",702,"Income: Below $1,000",317
"2451","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Landed Properties",702,"Income: $1,000 to $2,999",2386
"2452","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Landed Properties",702,"Income: $3,000 to $4,999",3791
"2453","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Landed Properties",702,"Income: $5,000 to $9,999",7919
"2454","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Landed Properties",702,"Income: $10,000 & Over",5370
"2455","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Others",37,"Income: No Working Person",829
"2456","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Others",37,"Income: Below $1,000",317
"2457","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Others",37,"Income: $1,000 to $2,999",2386
"2458","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Others",37,"Income: $3,000 to $4,999",3791
"2459","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Others",37,"Income: $5,000 to $9,999",7919
"2460","Sembawang",15717,"1/1/2010","Education: No Qualification",5961,"Housing: Others",37,"Income: $10,000 & Over",5370
"2461","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: HDB 1-3 Rooms",0,"Income: No Working Person",829
"2462","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: HDB 1-3 Rooms",0,"Income: Below $1,000",317
"2463","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: HDB 1-3 Rooms",0,"Income: $1,000 to $2,999",2386
"2464","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: HDB 1-3 Rooms",0,"Income: $3,000 to $4,999",3791
"2465","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: HDB 1-3 Rooms",0,"Income: $5,000 to $9,999",7919
"2466","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: HDB 1-3 Rooms",0,"Income: $10,000 & Over",5370
"2467","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: HDB 4-5 Rooms",19294,"Income: No Working Person",829
"2468","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: HDB 4-5 Rooms",19294,"Income: Below $1,000",317
"2469","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: HDB 4-5 Rooms",19294,"Income: $1,000 to $2,999",2386
"2470","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: HDB 4-5 Rooms",19294,"Income: $3,000 to $4,999",3791
"2471","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: HDB 4-5 Rooms",19294,"Income: $5,000 to $9,999",7919
"2472","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: HDB 4-5 Rooms",19294,"Income: $10,000 & Over",5370
"2473","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Condominiums and Other Apartments",579,"Income: No Working Person",829
"2474","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Condominiums and Other Apartments",579,"Income: Below $1,000",317
"2475","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Condominiums and Other Apartments",579,"Income: $1,000 to $2,999",2386
"2476","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Condominiums and Other Apartments",579,"Income: $3,000 to $4,999",3791
"2477","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Condominiums and Other Apartments",579,"Income: $5,000 to $9,999",7919
"2478","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Condominiums and Other Apartments",579,"Income: $10,000 & Over",5370
"2479","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Landed Properties",702,"Income: No Working Person",829
"2480","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Landed Properties",702,"Income: Below $1,000",317
"2481","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Landed Properties",702,"Income: $1,000 to $2,999",2386
"2482","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Landed Properties",702,"Income: $3,000 to $4,999",3791
"2483","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Landed Properties",702,"Income: $5,000 to $9,999",7919
"2484","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Landed Properties",702,"Income: $10,000 & Over",5370
"2485","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Others",37,"Income: No Working Person",829
"2486","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Others",37,"Income: Below $1,000",317
"2487","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Others",37,"Income: $1,000 to $2,999",2386
"2488","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Others",37,"Income: $3,000 to $4,999",3791
"2489","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Others",37,"Income: $5,000 to $9,999",7919
"2490","Sembawang",15717,"1/1/2010","Education: Primary to Secondary",17524,"Housing: Others",37,"Income: $10,000 & Over",5370
"2491","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: HDB 1-3 Rooms",0,"Income: No Working Person",829
"2492","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: HDB 1-3 Rooms",0,"Income: Below $1,000",317
"2493","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: HDB 1-3 Rooms",0,"Income: $1,000 to $2,999",2386
"2494","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: HDB 1-3 Rooms",0,"Income: $3,000 to $4,999",3791
"2495","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: HDB 1-3 Rooms",0,"Income: $5,000 to $9,999",7919
"2496","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: HDB 1-3 Rooms",0,"Income: $10,000 & Over",5370
"2497","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: HDB 4-5 Rooms",19294,"Income: No Working Person",829
"2498","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: HDB 4-5 Rooms",19294,"Income: Below $1,000",317
"2499","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: HDB 4-5 Rooms",19294,"Income: $1,000 to $2,999",2386
"2500","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: HDB 4-5 Rooms",19294,"Income: $3,000 to $4,999",3791
"2501","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: HDB 4-5 Rooms",19294,"Income: $5,000 to $9,999",7919
"2502","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: HDB 4-5 Rooms",19294,"Income: $10,000 & Over",5370
"2503","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Condominiums and Other Apartments",579,"Income: No Working Person",829
"2504","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Condominiums and Other Apartments",579,"Income: Below $1,000",317
"2505","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Condominiums and Other Apartments",579,"Income: $1,000 to $2,999",2386
"2506","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Condominiums and Other Apartments",579,"Income: $3,000 to $4,999",3791
"2507","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Condominiums and Other Apartments",579,"Income: $5,000 to $9,999",7919
"2508","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Condominiums and Other Apartments",579,"Income: $10,000 & Over",5370
"2509","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Landed Properties",702,"Income: No Working Person",829
"2510","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Landed Properties",702,"Income: Below $1,000",317
"2511","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Landed Properties",702,"Income: $1,000 to $2,999",2386
"2512","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Landed Properties",702,"Income: $3,000 to $4,999",3791
"2513","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Landed Properties",702,"Income: $5,000 to $9,999",7919
"2514","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Landed Properties",702,"Income: $10,000 & Over",5370
"2515","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Others",37,"Income: No Working Person",829
"2516","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Others",37,"Income: Below $1,000",317
"2517","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Others",37,"Income: $1,000 to $2,999",2386
"2518","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Others",37,"Income: $3,000 to $4,999",3791
"2519","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Others",37,"Income: $5,000 to $9,999",7919
"2520","Sembawang",15717,"1/1/2010","Education: University",12343,"Housing: Others",37,"Income: $10,000 & Over",5370
"2521","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: HDB 1-3 Rooms",313,"Income: No Working Person",1800
"2522","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: HDB 1-3 Rooms",313,"Income: Below $1,000",558
