"","Planning_Area","Post Secondary (Polytechnic/Diploma)","Year","Education","Education_count","Housing","Housing_count","Income","Income_count"
"85","Total",718919,"1/1/2010","Education: University",634098,"Housing: Others",5332,"Income: No Working Person",120010
"86","Total",718919,"1/1/2010","Education: University",634098,"Housing: Others",5332,"Income: Below $1,000",40566
"87","Total",718919,"1/1/2010","Education: University",634098,"Housing: Others",5332,"Income: $1,000 to $2,999",173691
"88","Total",718919,"1/1/2010","Education: University",634098,"Housing: Others",5332,"Income: $3,000 to $4,999",185754
"89","Total",718919,"1/1/2010","Education: University",634098,"Housing: Others",5332,"Income: $5,000 to $9,999",333233
"90","Total",718919,"1/1/2010","Education: University",634098,"Housing: Others",5332,"Income: $10,000 & Over",292666
"91","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: HDB 1-3 Rooms",31212,"Income: No Working Person",8467
"92","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: HDB 1-3 Rooms",31212,"Income: Below $1,000",3136
"93","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: HDB 1-3 Rooms",31212,"Income: $1,000 to $2,999",11604
"94","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: HDB 1-3 Rooms",31212,"Income: $3,000 to $4,999",9801
"95","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: HDB 1-3 Rooms",31212,"Income: $5,000 to $9,999",14560
"96","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: HDB 1-3 Rooms",31212,"Income: $10,000 & Over",12137
"97","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: HDB 4-5 Rooms",20264,"Income: No Working Person",8467
"98","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: HDB 4-5 Rooms",20264,"Income: Below $1,000",3136
"99","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: HDB 4-5 Rooms",20264,"Income: $1,000 to $2,999",11604
"100","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: HDB 4-5 Rooms",20264,"Income: $3,000 to $4,999",9801
"101","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: HDB 4-5 Rooms",20264,"Income: $5,000 to $9,999",14560
"102","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: HDB 4-5 Rooms",20264,"Income: $10,000 & Over",12137
"103","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Condominiums and Other Apartments",3661,"Income: No Working Person",8467
"104","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Condominiums and Other Apartments",3661,"Income: Below $1,000",3136
"105","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Condominiums and Other Apartments",3661,"Income: $1,000 to $2,999",11604
"106","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Condominiums and Other Apartments",3661,"Income: $3,000 to $4,999",9801
"107","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Condominiums and Other Apartments",3661,"Income: $5,000 to $9,999",14560
"108","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Condominiums and Other Apartments",3661,"Income: $10,000 & Over",12137
"109","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Landed Properties",4177,"Income: No Working Person",8467
"110","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Landed Properties",4177,"Income: Below $1,000",3136
"111","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Landed Properties",4177,"Income: $1,000 to $2,999",11604
"112","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Landed Properties",4177,"Income: $3,000 to $4,999",9801
"113","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Landed Properties",4177,"Income: $5,000 to $9,999",14560
"114","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Landed Properties",4177,"Income: $10,000 & Over",12137
"115","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Others",391,"Income: No Working Person",8467
"116","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Others",391,"Income: Below $1,000",3136
"117","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Others",391,"Income: $1,000 to $2,999",11604
"118","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Others",391,"Income: $3,000 to $4,999",9801
"119","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Others",391,"Income: $5,000 to $9,999",14560
"120","Ang Mo Kio",32485,"1/1/2010","Education: No Qualification",28602,"Housing: Others",391,"Income: $10,000 & Over",12137
"121","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: HDB 1-3 Rooms",31212,"Income: No Working Person",8467
"122","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: HDB 1-3 Rooms",31212,"Income: Below $1,000",3136
"123","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: HDB 1-3 Rooms",31212,"Income: $1,000 to $2,999",11604
"124","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: HDB 1-3 Rooms",31212,"Income: $3,000 to $4,999",9801
